Input_angle,Expected_Cos,Expected_Sin,Tolerance
8579,28378,16384
87217,18795,-26841
12868,23170,23170
81506,8481,-31651
2402,32417,4787
3431,32051,6813
6577,30163,12803
18593,13848,29699
22305,6813,32051
80221,6002,-32214
98655,31651,-8481
38604,-23170,23170
44036,-29451,14364
53760,-32448,-4560
75206,-3993,-32524
568,32748,1137
2119,32494,4226
2617,32351,5211
3540,32006,7025
4656,31454,9187
4782,31382,9428
5979,30610,11695
6543,30190,12741
6697,30069,13023
7622,29285,14701
7675,29238,14794
9110,27832,17295
10055,26789,18871
11107,25523,20551
11928,24461,21804
12312,23944,22370
12563,23598,22735
14360,20967,25182
14507,20740,25369
16059,18249,27216
16061,18245,27219
17554,15691,28767
18718,13611,29807
18880,13315,29941
19030,13041,30061
20175,10909,30899
20457,10377,31081
20555,10190,31143
21859,7682,31855
26640,-1807,32718
27934,-4382,32474
28921,-6329,32151
29980,-8394,31675
30075,-8576,31626
31320,-10953,30883
31358,-11025,30858
32014,-12251,30392
32089,-12390,30335
33476,-14910,29179
33491,-14937,29166
34064,-15948,28625
36726,-20368,25669
36902,-20643,25448
37715,-21879,24393
38557,-23103,23237
40012,-25074,21096
44013,-29430,14408
44466,-29818,13589
45311,-30478,12034
46950,-31528,8930
48612,-32270,5692
50833,-32743,1277
50975,-32753,993
52937,-32637,-2927
53538,-32508,-4121
53812,-32434,-4665
54021,-32372,-5077
55867,-31596,-8686
56281,-31367,-9480
57780,-30369,-12307
60986,-27397,-17976
61550,-26762,-18909
61628,-26671,-19036
61881,-26374,-19446
62543,-25567,-20495
62987,-25003,-21180
64165,-23417,-22921
65633,-21272,-24925
68203,-17117,-27942
70438,-13159,-30010
72767,-8774,-31571
72892,-8533,-31638
73424,-7500,-31898
75047,-4310,-32483
75109,-4187,-32499
75354,-3699,-32559
78318,2219,-32693
79366,4304,-32484
79398,4366,-32476
79498,4565,-32448
79795,5153,-32360
80829,7183,-31971
82581,10555,-31021
83220,11755,-30587
83947,13101,-30035
85314,15558,-28839
85695,16225,-28469
88851,21375,-24836
89168,21851,-24419
91333,24879,-21326
92117,25870,-20112
93609,27592,-17676
94901,28899,-15447
96716,30429,-12159
97682,31093,-10344
97870,31209,-9986
99406,32007,-7021
99813,32171,-6224
99846,32184,-6158
101594,32657,-2697
